column,dtype,non_null_count,missing_count,missing_pct,unique_values
Record_ID,str,1000,0,0.0,1000
Financial_Year,str,1000,0,0.0,4
Date_of_Fund_Release,str,1000,0,0.0,720
State,str,1000,0,0.0,10
District,str,1000,0,0.0,181
Department,str,1000,0,0.0,5
Scheme_Name,str,1000,0,0.0,11
Scheme_Code,str,1000,0,0.0,11
Fund_Source,str,1000,0,0.0,3
Implementing_Agency,str,1000,0,0.0,5
Sanctioned_Amount_Lakhs,float64,1000,0,0.0,990
Fund_Released_Lakhs,float64,1000,0,0.0,992
Fund_Utilized_Lakhs,float64,940,60,6.0,838
Utilization_Percent,float64,940,60,6.0,775
Physical_Target_Units,int64,1000,0,0.0,435
Physical_Achievement_Units,float64,975,25,2.5,380
Beneficiaries_Target,int64,1000,0,0.0,917
Beneficiaries_Covered,float64,955,45,4.5,768
Status,str,1000,0,0.0,4
Audit_Remarks,str,930,70,7.0,20
Nodal_Officer_Contact,str,1000,0,0.0,624
