State,records,sanctioned_mean,released_mean,utilized_mean,utilization_mean
Bihar,97,424.5917525773196,316.01917525773194,219.36340659340658,72.23696770109359
Gujarat,114,341.224649122807,244.52552631578948,146.9692523364486,61.93131822619437
Karnataka,86,407.91453488372093,303.2758139534884,207.4889411764706,71.29492651566402
Kerala,105,414.848,303.21485714285717,219.9033333333333,69.77141582563479
Madhya Pradesh,96,380.2505208333334,281.88906249999997,199.4085882352941,68.55052357135132
Maharashtra,101,385.0733663366337,290.2440594059406,190.44704081632653,68.96212084749327
Rajasthan,89,466.6126966292135,341.76191011235954,253.24476744186046,73.62010128625151
Tamil Nadu,106,408.2522641509434,321.45462264150945,216.8053,63.41132106190366
Uttar Pradesh,95,354.1805263157895,261.518,154.65455555555556,62.9121121194316
West Bengal,111,427.949009009009,322.44198198198194,235.2475238095238,71.95242070290057
