State,sanctioned,released,utilized,unutilized
West Bengal,47502.34,35791.06,24700.99,11090.069999999996
Rajasthan,41528.53,30416.81,21779.05,8637.760000000002
Tamil Nadu,43274.74,34074.19,21680.53,12393.660000000003
Kerala,43559.04,31837.56,20451.01,11386.550000000003
Bihar,41185.4,30653.86,19962.07,10691.79
Maharashtra,38892.41,29314.65,18663.81,10650.84
Karnataka,35080.65,26081.72,17636.56,8445.16
Madhya Pradesh,36504.05,27061.35,16949.73,10111.619999999999
Gujarat,38899.61,27875.91,15725.71,12150.2
Uttar Pradesh,33647.15,24844.21,13918.91,10925.3
